ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,EWB,SYSTEM1.TXT,0.08108,0.07712,0.07905,1
ROUGE-2,EWB,SYSTEM2.TXT,0.09048,0.12379,0.10455,1
ROUGE-2,FREAK,SYSTEM2.TXT,0.11469,0.05374,0.07318,1
ROUGE-2,FREAK,SYSTEM1.TXT,0.16783,0.05610,0.08409,1
ROUGE-2,HOI,SYSTEM1.TXT,0.14912,0.00812,0.01540,1
ROUGE-2,HOI,SYSTEM2.TXT,0.16667,0.00932,0.01765,1
ROUGE-2,CSE,SYSTEM2.TXT,0.10817,0.08607,0.09586,1
ROUGE-2,CSE,SYSTEM1.TXT,0.13777,0.08358,0.10404,1
ROUGE-2,POC,SYSTEM2.TXT,0.16211,0.12695,0.14239,1
ROUGE-2,POC,SYSTEM1.TXT,0.28923,0.17990,0.22183,1
ROUGE-2,WIF,SYSTEM1.TXT,0.10578,0.12251,0.11353,1
ROUGE-2,WIF,SYSTEM2.TXT,0.10604,0.12446,0.11452,1
ROUGE-2,GTD,SYSTEM1.TXT,0.24207,0.13117,0.17014,1
ROUGE-2,GTD,SYSTEM2.TXT,0.12649,0.10372,0.11398,1
ROUGE-2,GTG,SYSTEM1.TXT,0.10133,0.07583,0.08675,1
ROUGE-2,GTG,SYSTEM2.TXT,0.07523,0.10027,0.08596,1
ROUGE-2,HUMAN,SYSTEM2.TXT,0.20170,0.11604,0.14732,1
ROUGE-2,HUMAN,SYSTEM1.TXT,0.18188,0.07874,0.10990,1
ROUGE-2,PRAGMA,SYSTEM1.TXT,0.22976,0.10502,0.14415,1
ROUGE-2,PRAGMA,SYSTEM2.TXT,0.16318,0.12308,0.14032,1
ROUGE-2,STRANGE,SYSTEM2.TXT,0.06971,0.05230,0.05976,1
ROUGE-2,STRANGE,SYSTEM1.TXT,0.13290,0.06850,0.09041,1
ROUGE-2,TWB,SYSTEM1.TXT,0.24441,0.17905,0.20668,1
ROUGE-2,TWB,SYSTEM2.TXT,0.25000,0.21530,0.23135,1
