ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,EWB,SYSTEM1.TXT,0.45791,0.43633,0.44686,1
ROUGE-1,EWB,SYSTEM2.TXT,0.42582,0.57492,0.48926,1
ROUGE-1,FREAK,SYSTEM2.TXT,0.56913,0.26076,0.35765,1
ROUGE-1,FREAK,SYSTEM1.TXT,0.65503,0.21795,0.32708,1
ROUGE-1,HOI,SYSTEM1.TXT,0.58333,0.03191,0.0605,1
ROUGE-1,HOI,SYSTEM2.TXT,0.625,0.03506,0.0664,1
ROUGE-1,CSE,SYSTEM2.TXT,0.49558,0.39905,0.44211,1
ROUGE-1,CSE,SYSTEM1.TXT,0.535,0.33211,0.40982,1
ROUGE-1,POC,SYSTEM2.TXT,0.57772,0.45872,0.51139,1
ROUGE-1,POC,SYSTEM1.TXT,0.71677,0.45676,0.55796,1
ROUGE-1,WIF,SYSTEM1.TXT,0.46019,0.52994,0.49261,1
ROUGE-1,WIF,SYSTEM2.TXT,0.45968,0.53619,0.495,1
ROUGE-1,GTD,SYSTEM1.TXT,0.67912,0.37751,0.48527,1
ROUGE-1,GTD,SYSTEM2.TXT,0.55735,0.46158,0.50496,1
ROUGE-1,GTG,SYSTEM1.TXT,0.45562,0.34413,0.39211,1
ROUGE-1,GTG,SYSTEM2.TXT,0.34467,0.4539,0.39182,1
ROUGE-1,HUMAN,SYSTEM2.TXT,0.64343,0.38015,0.47793,1
ROUGE-1,HUMAN,SYSTEM1.TXT,0.64343,0.28865,0.39852,1
ROUGE-1,PRAGMA,SYSTEM1.TXT,0.67434,0.31992,0.43396,1
ROUGE-1,PRAGMA,SYSTEM2.TXT,0.60758,0.46601,0.52746,1
ROUGE-1,STRANGE,SYSTEM2.TXT,0.45318,0.34359,0.39085,1
ROUGE-1,STRANGE,SYSTEM1.TXT,0.59551,0.3133,0.41059,1
ROUGE-1,TWB,SYSTEM1.TXT,0.61516,0.45771,0.52488,1
ROUGE-1,TWB,SYSTEM2.TXT,0.62175,0.53976,0.57786,1
